127.0.0.1 - - [23/Jan/2021:09:35:19 -0200] "GET / HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:20 -0200] "GET /Projeto_Final/index.html HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:20 -0200] "GET /Projeto_Final/css/index.css HTTP/1.1" 200 5942
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:21 -0200] "GET /Projeto_Final/images/pcfoto1.svg HTTP/1.1" 200 29039
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:21 -0200] "GET /Projeto_Final/images/undraw_video_influencer_9oyy.svg HTTP/1.1" 200 9509
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:21 -0200] "GET /Projeto_Final/images/undraw_calendar_dutt.svg HTTP/1.1" 200 11103
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:21 -0200] "GET /Projeto_Final/images/undraw_teacher_35j2.svg HTTP/1.1" 200 19582
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:21 -0200] "GET /favicon.ico HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:27 -0200] "GET /Projeto_Final/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:27 -0200] "GET /Projeto_Final/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:42 -0200] "POST /Projeto_Final/SvLogin HTTP/1.1" 200 35930
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:42 -0200] "GET /Projeto_Final/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:53 -0200] "POST /Projeto_Final/SvAddCarrinho HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:54 -0200] "GET /Projeto_Final/SvCheckout HTTP/1.1" 200 8856
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:54 -0200] "GET /Projeto_Final/css/checkout.css HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:35:54 -0200] "GET /Projeto_Final/js/checkout.js HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:36:36 -0200] "POST /Projeto_Final/SvLogin HTTP/1.1" 200 17193
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:36:36 -0200] "GET /Projeto_Final/js/homeinstrutor.js HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:36:50 -0200] "POST /Projeto_Final/SvAbrirEditar HTTP/1.1" 200 8590
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:36:50 -0200] "GET /Projeto_Final/css/course.css HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:36:50 -0200] "GET /Projeto_Final/js/course.js HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [23/Jan/2021:09:37:15 -0200] "POST /Projeto_Final/SvCriarModulo HTTP/1.1" 200 8839
